seasonday,season,day,datetime,timestamp,name,tag,result,mode,brawler,points,used_tickets,with_club_mate,type,map_id,map_name,starplayer,equipes,Joueur1,Joueur2,Joueur3
Saison 5 J3,Saison 5,J3,2022-06-13 11:17:22,20220613T111722.000Z,bazook.F,#R2UPR9VC,defeat,bounty,BO,1,1,False,ranked,,,,['bazook.F'],bazook.F,,
Saison 6 J3,Saison 6,J3,2022-06-20 10:33:00,20220620T103300.000Z,HugoNeet🚭,#PCYC9V2Q0,defeat,knockout,JESSIE,1,1,False,ranked,,,,['HugoNeet🚭'],HugoNeet🚭,,
Saison 6 J3,Saison 6,J3,2022-06-20 11:56:54,20220620T115654.000Z,bab2o,#29RG28UJY,defeat,knockout,EVE,1,1,False,ranked,,,,['bab2o'],bab2o,,
Saison 6 J3,Saison 6,J3,2022-06-20 10:09:13,20220620T100913.000Z,bab2o,#29RG28UJY,victory,knockout,EVE,3,1,True,ranked,,,,['bab2o'],bab2o,,
Saison 6 J3,Saison 6,J3,2022-06-20 10:31:15,20220620T103115.000Z,HugoNeet🚭,#PCYC9V2Q0,victory,knockout,EMZ,3,1,True,ranked,,,,['HugoNeet🚭'],HugoNeet🚭,,
Saison 2 J1,Saison 2,J1,2022-05-19 11:18:52,20220519T111852.000Z,ulyssigno,#P0UULUC2R,defeat,heist,SHELLY,1,1,False,,,,,['ulyssigno'],ulyssigno,,
Saison 2 J1,Saison 2,J1,2022-05-19 11:22:11,20220519T112211.000Z,ulyssigno,#P0UULUC2R,defeat,heist,RICO,1,1,False,,,,,['ulyssigno'],ulyssigno,,
Saison 2 J2,Saison 2,J2,2022-05-21 11:45:55,20220521T114555.000Z,Hermione,#L29YPY8G,defeat,hotZone,MORTIS,1,1,False,,,,,['Hermione'],Hermione,,
Saison 3 J1,Saison 3,J1,2022-05-26 12:51:29,20220526T125129.000Z,ulyssigno,#P0UULUC2R,defeat,gemGrab,SPIKE,1,1,False,,,,,['ulyssigno'],ulyssigno,,
Saison 4 J1,Saison 4,J1,2022-06-02 11:51:14,20220602T115114.000Z,Hermione,#L29YPY8G,defeat,heist,COLT,1,1,False,,,,,['Hermione'],Hermione,,
Saison 4 J1,Saison 4,J1,2022-06-02 11:54:25,20220602T115425.000Z,Hermione,#L29YPY8G,defeat,heist,COLT,1,1,False,,,,,['Hermione'],Hermione,,
Saison 4 J1,Saison 4,J1,2022-06-02 11:56:53,20220602T115653.000Z,Hermione,#L29YPY8G,defeat,heist,SURGE,1,1,False,,,,,['Hermione'],Hermione,,
Saison 1 J1,Saison 1,J1,2022-05-11 21:31:56,20220511T213156.000Z,Kralito,#YR9UGCV8,defeat,knockout,GALE,3,2,False,,,,,['Kralito'],Kralito,,
Saison 1 J1,Saison 1,J1,2022-05-12 10:55:53,20220512T105553.000Z,bazook.F,#R2UPR9VC,defeat,hotZone,SPIKE,3,2,False,,,,,['bazook.F'],bazook.F,,
